Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Jeremy Langford Chi RB,RB,RB,43.8,9.9,2.03125,32.5,9,-4.47916666667,-1.4
Chris Johnson Ari RB,RB,RB,32.6,31.4,2.0125,32.2,8,-4.49791666667,-1.4187499999999997
Alfred Blue Hou RB,RB,RB,34.2,27.3,1.99375,31.9,7,-4.51666666667,-1.4375
Malcolm Brown LAR RB,RB,RB,38.7,16.6,1.95833333333,31.3333333333,8,-4.552083333340001,-1.47291666667
Mike Tolbert Buf RB,RB,RB,29.1,33.1,1.90208333333,30.4333333333,6,-4.60833333334,-1.52916666667
Alfred Morris Dal RB,RB,RB,29.9,30.8,1.8875,30.2,6,-4.62291666667,-1.54375
Javorius Allen Bal RB,RB,RB,33.5,16.0,1.72916666667,27.6666666667,10,-4.78125,-1.7020833333299998
Charcandrick West KC RB,RB,RB,33.4,15.3,1.71041666667,27.3666666667,10,-4.800000000000001,-1.7208333333299999
Tyler Ervin Hou RB,RB,RB,31.7,13.4,1.6,25.6,7,-4.910416666670001,-1.8312499999999998
Cameron Artis Payne Car RB,RB,RB,34.0,2.7,1.47291666667,23.5666666667,11,-5.0375000000000005,-1.95833333333
Elijah McGuire NYJ RB,RB,RB,20.0,22.6,1.30416666667,20.8666666667,11,-5.206250000000001,-2.12708333333
Benny Cunningham Chi RB,RB,RB,21.0,14.4,1.175,18.8,9,-5.3354166666700005,-2.2562499999999996
Kenjon Barner LAC RB Q,RB,RB,25.0,5.2,1.15,18.4,9,-5.36041666667,-2.28125
