Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Jeremy Kerley,NYJ,WR,56.1,98.4,4.828125,77.25,5,-7.584375,-3.5437499999999993
Rod Streater,OAK,WR,72.1,80.7,4.775,76.4,6,-7.637499999999999,-3.596874999999999
Devin Smith,NYJ,WR,47.7,104.0,4.740625,75.85,5,-7.671875,-3.6312499999999996
Tyler Lockett,SEA,WR,49.9,100.4,4.696875,75.15,9,-7.715624999999999,-3.674999999999999
Jarius Wright,MIN,WR,77.0,69.9,4.590625,73.45,5,-7.8218749999999995,-3.781249999999999
Louis Murphy,TB,WR,67.5,76.3,4.49375,71.9,6,-7.918749999999999,-3.878124999999999
Hakeem Nicks,TEN,WR,110.3,26.8,4.284375,68.55,4,-8.128125,-4.0874999999999995
Stedman Bailey,STL,WR,68.1,65.6,4.178125,66.85,6,-8.234375,-4.19375
Dontrelle Inman,SD,WR,107.0,22.3,4.040625,64.65,10,-8.371875,-4.331249999999999
Harry Douglas,TEN,WR,83.2,39.4,3.83125,61.3,4,-8.58125,-4.5406249999999995
Chris Matthews,SEA,WR,56.2,60.7,3.653125,58.45,9,-8.759374999999999,-4.718749999999999
Andre Holmes,OAK,WR,55.7,60.8,3.640625,58.25,6,-8.771875,-4.731249999999999
Quinton Patton,SF,WR,51.5,56.2,3.365625,53.85,10,-9.046875,-5.00625
Lance Moore,DET,WR,83.2,22.1,3.290625,52.65,9,-9.121875,-5.081249999999999
Philly Brown,CAR,WR,57.4,47.7,3.284375,52.55,5,-9.128125,-5.0874999999999995
Taylor Gabriel,CLE,WR,61.9,41.7,3.2375,51.8,11,-9.175,-5.1343749999999995
Devin Hester,ATL,WR,62.1,41.2,3.228125,51.65,10,-9.184375,-5.143749999999999
Rashad Greene,JAX,WR,46.0,54.5,3.140625,50.25,8,-9.271875,-5.231249999999999
Albert Wilson,KC,WR,54.0,33.5,2.734375,43.75,9,-9.678125,-5.637499999999999
Josh Huff,PHI,WR,47.0,39.4,2.7,43.2,8,-9.712499999999999,-5.671874999999999
Leonard Hankerson,ATL,WR,51.3,31.6,2.590625,41.45,10,-9.821874999999999,-5.781249999999999
Miles Austin,PHI,WR,50.5,31.3,2.55625,40.9,8,-9.85625,-5.815624999999999
Jerricho Cotchery,CAR,WR,28.6,52.4,2.53125,40.5,5,-9.88125,-5.840624999999999
Brandon Gibson,NE,WR,49.1,31.7,2.525,40.4,5,-9.8875,-5.846874999999999
Ted Ginn Jr ,CAR,WR,47.6,28.3,2.371875,37.95,5,-10.040624999999999,-5.999999999999999
Travis Benjamin,CLE,WR,49.9,24.7,2.33125,37.3,11,-10.08125,-6.0406249999999995
Marquise Goodwin,BUF,WR,55.0,15.9,2.215625,35.45,8,-10.196874999999999,-6.156249999999999
Michael Campanaro,BAL,WR,42.3,27.5,2.18125,34.9,9,-10.23125,-6.190624999999999
Aaron Dobson,NE,WR,58.9,8.9,2.11875,33.9,4,-10.29375,-6.253124999999999
Jaron Brown,ARI,WR,31.4,35.9,2.103125,33.65,9,-10.309375,-6.268749999999999
DeAndre Smelter ,SF,WR,47.5,18.4,2.059375,32.95,10,-10.353124999999999,-6.312499999999999
Bruce Ellington,SF,WR,24.8,41.0,2.05625,32.9,10,-10.35625,-6.315624999999999
Corey Fuller,DET,WR,21.2,41.4,1.95625,31.3,9,-10.456249999999999,-6.4156249999999995
Jason Avant,KC,WR,49.4,10.8,1.88125,30.1,5,-10.53125,-6.490625
Damaris Johnson,HOU,WR,40.4,18.8,1.85,29.6,7,-10.5625,-6.521875
Corey Washington,NYG,WR,27.1,27.1,1.69375,27.1,11,-10.71875,-6.678125
