Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Cardinals D ST D ST,Def,DEF,125.0,117.0,7.6458333333299997,122.333333333,9,0.25,1.5625
Devonta Freeman,RB,RB,154.19999999999999,178.40000000000001,10.141666666700001,162.26666666700001,10,0.21666666670000012,5.6333333333700004
Eli Manning,QB,QB,317.19999999999999,330.39999999999998,20.100000000000001,321.60000000000002,11,0.21250000000000213,3.5708333333000013
Broncos D ST D ST,Def,DEF,126.0,113.0,7.6041666666700003,121.666666667,7,0.20833333334000059,1.5208333333400006
Dan Carpenter,K,K,124.0,137.0,8.0208333333299997,128.33333333300001,8,0.1458333333299997,0.875
Matt Prater,K,K,123.0,138.0,8.0,128.0,7,0.125,0.8541666666700003
Jets D ST D ST,Def,DEF,125.0,111.0,7.5208333333299997,120.333333333,5,0.125,1.4375
Blair Walsh,K,K,124.0,135.0,7.9791666666700003,127.666666667,5,0.1041666666700003,0.83333333334000059
Packers D ST D ST,Def,DEF,125.0,108.0,7.4583333333299997,119.333333333,7,0.0625,1.375
Arian Foster ,RB,RB,132.09999999999999,215.0,9.9833333333300001,159.73333333299999,9,0.058333333329999348,5.4749999999999996
Zach Ertz,TE,TE,133.30000000000001,152.69999999999999,8.7354166666699999,139.76666666700001,8,0.0,1.2520833333399999
Shaun Suisham ,K,K,123.0,132.0,7.875,126.0,11,0.0,0.7291666666700003
Ravens D ST D ST,Def,DEF,123.0,109.0,7.3958333333299997,118.333333333,9,0.0,1.3125
Marques Colston,WR,WR,219.0,162.5,12.510416666699999,200.16666666699999,11,0.0,3.6437500000299998
Darren McFadden,RB,RB,169.59999999999999,137.19999999999999,9.9250000000000007,158.80000000000001,6,0.0,5.4166666666700003
Cam Newton,QB,QB,319.0,316.60000000000002,19.887499999999999,318.19999999999999,5,0.0,3.3583333332999992
Coby Fleener,TE,TE,151.40000000000001,116.0,8.7249999999999996,139.59999999999999,10,-0.010416666670000296,1.2416666666699996
Sam Bradford,QB,QB,321.0,312.10000000000002,19.8770833333,318.03333333299997,8,-0.010416666699999411,3.3479166665999998
Pierre Garcon,WR,WR,208.59999999999999,182.80000000000001,12.5,200.0,8,-0.010416666699999411,3.6333333333300004
Anquan Boldin,WR,WR,210.40000000000001,179.0,12.4958333333,199.93333333300001,10,-0.014583333399999177,3.6291666666300006
Nick Novak,K,K,124.0,129.0,7.8541666666700003,125.666666667,10,-0.020833333329999704,0.70833333334000059
Vernon Davis,TE,TE,149.0,119.09999999999999,8.6895833333300008,139.033333333,10,-0.045833333339999172,1.2062500000000007
Phil Dawson,K,K,122.0,130.0,7.7916666666700003,124.666666667,10,-0.083333333329999704,0.64583333334000059
Caleb Sturgis,K,K,118.0,138.0,7.7916666666700003,124.666666667,5,-0.083333333329999704,0.64583333334000059
Jared Cook,TE,TE,143.90000000000001,126.90000000000001,8.6395833333300001,138.23333333299999,6,-0.095833333339999882,1.15625
Steve Smith Sr ,WR,WR,209.59999999999999,174.80000000000001,12.375,198.0,9,-0.13541666669999941,3.5083333333300004
Kendall Wright,WR,WR,203.90000000000001,184.09999999999999,12.331250000000001,197.30000000000001,4,-0.1791666666999987,3.4645833333300011
Eric Decker,WR,WR,202.69999999999999,185.80000000000001,12.3166666667,197.06666666699999,5,-0.19374999999999964,3.4500000000300002
Vikings D ST D ST,Def,DEF,124.0,97.0,7.1875,115.0,5,-0.2083333333299997,1.1041666666700003
Bengals D ST D ST,Def,DEF,121.0,102.0,7.1666666666700003,114.666666667,7,-0.22916666665999941,1.0833333333400006
Chandler Catanzaro,K,K,120.0,126.0,7.625,122.0,9,-0.25,0.4791666666700003
Browns D ST D ST,Def,DEF,115.0,112.0,7.125,114.0,11,-0.2708333333299997,1.0416666666700003
Roddy White,WR,WR,208.09999999999999,170.40000000000001,12.2208333333,195.533333333,10,-0.28958333339999953,3.3541666666300003
Greg Zuerlein,K,K,115.0,132.0,7.5416666666700003,120.666666667,6,-0.3333333333299997,0.39583333334000059
John Brown,WR,WR,200.5,181.5,12.135416666699999,194.16666666699999,9,-0.375,3.2687500000299998
Eric Ebron,TE,TE,132.5,135.5,8.34375,133.5,9,-0.39166666666999994,0.86041666666999994
49ers D ST D ST,Def,DEF,118.0,100.0,7.0,112.0,10,-0.3958333333299997,0.9166666666700003
Philip Rivers,QB,QB,304.5,325.39999999999998,19.4666666667,311.46666666700003,10,-0.42083333329999917,2.9375
Joique Bell,RB,RB,136.69999999999999,182.19999999999999,9.4916666666699996,151.866666667,9,-0.43333333333000112,4.9833333333399992
