RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
48,"Latavius Murray, Min RBRecent News",ALES,,0/0,0,0,0,103.6,415.8,3.6,22.1,169.7,0.5,82.8,80.4
49,"Matt Breida, SF RB  Q",FA,,0/0,0,0,0,98.6,412.4,3.1,21.1,179.4,0.7,81.8,80.3
50,"Theo Riddick, Det RB",WORK,,0/0,0,0,0,46,176.1,1.2,52.7,426.7,2.4,81.7,76.5
51,"Aaron Jones, GB RB  QBreaking News",Bro,,0/0,0,0,0,116.4,515.8,3,10.7,86.5,0.5,80.8,73.9
52,"Samaje Perine, Wsh RB  QBreaking News",COLE,,0/0,0,0,0,116.5,447.1,3,17.9,140.6,0.5,79.7,72.4
53,"Corey Clement, Phi RB  QBreaking News",FA,,0/0,0,0,0,88.7,368,2.7,21.9,198.7,1,79.7,71
54,"Doug Martin, Oak RB",HAM,,0/0,0,0,0,105.4,388.2,2.9,21.7,174.1,0.6,77.3,70.2
55,"Peyton Barber, TB RBRecent News",HAM,,0/0,0,0,0,115.7,469.7,2.8,13.4,104.1,0.4,76.7,68.9
56,"LeGarrette Blount, Det RB",FA,,0/0,0,0,0,109.7,470.1,3.8,6.5,50.9,0.3,76.2,64.4
57,"Austin Ekeler, LAC RB",EMDW,,0/0,0,0,0,82.4,359.4,1.6,25.5,227.2,1,73.6,64.2
58,"Frank Gore, Mia RB",NIEV,,0/0,0,0,0,106.3,415.9,1.8,19.9,163.4,0.7,72.5,62.8
59,"Javorius Allen, Bal RB",FA,,0/0,0,0,0,66.4,265.4,1.8,39.3,284.8,1.1,72.1,59.9
60,"Kenneth Dixon, Bal RBRecent News",FA,,0/0,0,0,0,80.8,336.8,2,30.4,217.2,0.8,71.4,56.4
61,"T.J. Yeldon, Jax RB",BOO,,0/0,0,0,0,74,302.8,2.2,28,219.4,0.6,69.2,56.3
62,"Jordan Wilkins, Ind RB",FA,,0/0,0,0,0,105.8,430.8,2.5,9.7,80.2,0.3,67.2,55
63,"Darren Sproles, Phi RBBreaking News",FA,,0/0,0,0,0,54.9,247.7,1.4,28.9,235.1,0.8,65.3,52
64,"Elijah McGuire, NYJ RB  D",FA,,0/0,0,0,0,69.3,275.4,1.8,25.3,219.4,0.8,65.1,50.9
65,"Chris Ivory, Buf RB",FA,,0/0,0,0,0,87.9,349.8,3.3,11.7,89.3,0.3,65,50
66,"Nyheim Hines, Ind RB",FA,,0/0,0,0,0,56.7,225.1,1,33.6,275.7,1.1,64.8,46.6
67,"D'Onta Foreman*, Hou RB  O",FA,,0/0,0,0,0,96.5,391.2,2.3,9.5,75.4,0.4,62,46.5
68,"Jonathan Stewart, NYG RB",BOO,,0/0,0,0,0,80.8,319.2,2.2,8.9,65.2,0.2,53,46
69,"Alfred Blue, Hou RBBreaking News",FA,,0/0,0,0,0,76.6,300.8,1.9,9.3,74.8,0.4,51.3,45.6
70,"Tavon Austin, Dal RB  QBreaking News",FA,,0/0,0,0,0,27.7,135.3,1,21.8,193.8,1.1,48.6,44.7
71,"John Kelly, LAR RB",FA,,0/0,0,0,0,69.9,279.1,2.2,7.9,64.8,0.2,48.2,44.6
72,"Kyle Juszczyk, SF RB",FA,,0/0,0,0,0,7.9,25.9,0.6,35.6,310.2,1.7,47.1,42.2
73,"Chase Edmonds, Ari RB",FA,,0/0,0,0,0,57,222.8,1.6,13.3,103.1,0.4,45.3,41.6
74,"Spencer Ware, KC RBRecent News",FA,,0/0,0,0,0,58.1,242.8,2,7.7,67.2,0.3,44,41.5
75,"Jeremy Hill, NE RBBreaking News",FA,,0/0,0,0,0,61.8,245.8,2.5,2.4,18.1,0.1,41.6,39.8
76,"Corey Grant, Jax RB",FA,,0/0,0,0,0,37,165.5,1.1,15.4,125.4,0.4,38.7,38.6
77,"Travaris Cadet, Buf RB",FA,,0/0,0,0,0,40,160.1,1,11.8,97.7,0.3,34,38.4
78,"Charles Sims, TB RB",FA,,0/0,0,0,0,27,110.2,0.6,17.1,146.8,0.6,32.7,35.1
79,"DeAndre Washington, Oak RBRecent News",FA,,0/0,0,0,0,29.1,121,0.7,18.1,132.6,0.5,32.6,34.6
80,"Wayne Gallman, NYG RB",FA,,0/0,0,0,0,34.6,143.7,0.9,13.5,98,0.4,31.8,33.1
81,"James Conner, Pit RBBreaking News",FA,,0/0,0,0,0,47.8,199.9,1.5,2.2,17.3,0.1,30.6,31.9
82,"De'Angelo Henderson, Den RB",FA,,0/0,0,0,0,45.4,178.2,1,6.6,52.2,0.2,30.1,31.2
83,"Joe Williams, SF RB",FA,,0/0,0,0,0,31.6,122.5,1.3,8.7,71.5,0.3,28.4,29
84,"C.J. Prosise, Sea RBBreaking News",FA,,0/0,0,0,0,20.5,86,0.6,12,120.4,0.5,27.4,28
85,"Rod Smith, Dal RB",COLE,,0/0,0,0,0,34.1,140.1,1.4,3.9,33.7,0.1,26.5,26.9
86,"Jalen Richard, Oak RBRecent News",BOO,,0/0,0,0,0,18.2,81.7,0.4,13.4,107,0.4,23.6,26.4
87,"Kalen Ballage, Mia RB  QRecent News",FA,,0/0,0,0,0,29.3,114.7,0.7,8.5,66.8,0.3,23.6,25.5
88,"T.J. Logan, Ari RB",FA,,0/0,0,0,0,26.6,109.3,0.5,8.9,68.7,0.2,23.2,24.5
89,"Boston Scott, NO RB",FA,,0/0,0,0,0,24.5,102.4,0.9,5.8,47.1,0.2,21.7,24.4
90,"Robert Turbin, Ind RB  SSPD",FA,,0/0,0,0,0,22.8,89.6,0.6,6.7,54.7,0.3,19.7,22.3
91,"Damien Williams, KC RB  QRecent News",FA,,0/0,0,0,0,10.9,42.7,0.4,11.4,95.3,0.5,19.3,21.3
92,"Justin Jackson, LAC RBRecent News",FA,,0/0,0,0,0,28.8,111.8,0.6,2,17.1,0.1,16.7,21.2
93,"Jaylen Samuels, Pit RBBreaking News",FA,,0/0,0,0,0,19.9,77.7,0.7,4.4,34.5,0.2,16.2,18.2
94,"Mark Walton, Cin RB",FA,,0/0,0,0,0,26,106.9,0.5,2,16,0.1,15.3,18.1
95,"Ito Smith, Atl RB",FA,,0/0,0,0,0,18.3,70.7,0.6,4,32.3,0.2,15.1,15.7
96,"Benny Cunningham, Chi RB",FA,,0/0,0,0,0,9.1,37.5,0.3,8.7,72.6,0.3,14.2,14.9
97,"J.D. McKissic, Sea RB",FA,,0/0,0,0,0,8.2,33.2,0.2,7.2,62.6,0.3,12.7,14.5
98,"Aaron Ripkowski, GB RB",FA,,0/0,0,0,0,3.8,15.7,0.1,8.4,69.5,0.5,12,14
99,"Malcolm Brown, LAR RB",FA,,0/0,0,0,0,20.5,82.2,0.6,0,0,0,11.8,13.7
100,"Kenjon Barner, Car RB",FA,,0/0,0,0,0,13.2,54.6,0.4,3.8,28.5,0.1,11.1,13.1
101,"Terrance West, NO RB",FA,,0/0,0,0,0,15.1,59.8,0.7,0.5,4.4,0,10.5,12.2
102,"Jacquizz Rodgers, TB RB",FA,,0/0,0,0,0,13.5,54.1,0.3,2.3,16.2,0.1,10,11.4
103,"Andy Janovich, Den RB",FA,,0/0,0,0,0,8.3,27.4,0.4,4.4,34.8,0.2,9.6,10.6
104,"Tommy Bohanon, Jax RB",FA,,0/0,0,0,0,4.6,17.8,0.2,5.6,49.7,0.2,9.3,10.4
105,"Patrick DiMarco, Buf RB",FA,,0/0,0,0,0,2,6.6,0.1,7.6,62.7,0.3,9.2,10.2
106,"Keith Smith, Oak RB",FA,,0/0,0,0,0,5.5,18,0.3,4.4,33.9,0.2,8.3,10
107,"Ameer Abdullah, Det RB",SENK,,0/0,0,0,0,10.6,41.7,0.2,2.1,17.1,0.1,8,9.8
108,"Zach Line, NO RB",FA,,0/0,0,0,0,4.2,15.8,0.2,4.1,34,0.3,7.9,9.5
109,"Phillip Lindsay, Den RBRecent News",FA,,0/0,0,0,0,8.3,32.4,0.2,2.2,17.4,0.1,7.5,9.4
110,"Jamize Olawale, Dal RB  QBreaking News",FA,,0/0,0,0,0,4.3,17.2,0.2,3.8,34.8,0.2,7.4,9
111,"Michael Burton, Chi RB",FA,,0/0,0,0,0,3.6,11.9,0.2,4.1,33.3,0.2,7.1,8.3
112,"Josh Adams, Phi RB  QBreaking News",FA,,0/0,0,0,0,8.4,35.3,0.2,2.1,16.7,0.1,6.8,8.1
113,"Anthony Sherman, KC RB",FA,,0/0,0,0,0,3.6,13.8,0.2,3.9,30.8,0.2,6.5,7.8
114,"Derek Watt, LAC RB",FA,,0/0,0,0,0,6.2,20.2,0.2,2,17.1,0.1,6,7.4
115,"Mack Brown, Min RB  QRecent News",FA,,0/0,0,0,0,6.2,24.3,0.2,2.1,17,0.1,5.5,7.3
116,"Roosevelt Nix, Pit RB",FA,,0/0,0,0,0,4,13.2,0.3,2.2,17.3,0.1,5.5,7.2
117,"James Develin, NE RB",FA,,0/0,0,0,0,0,0,0,4.4,37.2,0.3,5.4,6.7
118,"Bo Scarbrough, Dal RB",FA,,0/0,0,0,0,8.5,34.1,0.3,0,0,0,5.3,6.6
119,"Christine Michael, Ind RB",FA,,0/0,0,0,0,7.4,29,0.2,1.1,8.7,0,5.2,6.1
120,"Akrum Wadley, Ten RB",FA,,0/0,0,0,0,6.2,24.8,0.1,1.9,15.3,0.1,5.1,5.9
121,"Cameron Artis-Payne, Car RB",FA,,0/0,0,0,0,8.8,36.7,0.2,0,0,0,5.1,5.6
122,"Alfred Morris, SF RBRecent News",NIEV,,0/0,0,0,0,7.9,30.6,0.3,0,0,0,5,5.3
123,"Elijhaa Penny, Ari RB",FA,,0/0,0,0,0,5.7,23.3,0.2,1.3,10.3,0.1,4.9,5.2
124,"Trenton Cannon, NYJ RB  QBreaking News",FA,,0/0,0,0,0,6.2,24.8,0.1,1.5,12.1,0,4.9,
125,"Jay Prosch, Hou RB",FA,,0/0,0,0,0,0,0,0,3.8,30.5,0.2,4.5,
126,"Shane Vereen, NO RB",FA,,0/0,0,0,0,3.2,13.1,0.1,2.1,16.9,0.1,4.4,
127,"Byron Marshall, Wsh RB  QBreaking News",FA,,0/0,0,0,0,7.3,28.4,0.2,0,0,0,4.2,
128,"C.J. Ham, Min RB",FA,,0/0,0,0,0,2.1,6.8,0.1,2,17,0.1,3.7,
129,"Devante Mays, GB RB  QBreaking News",FA,,0/0,0,0,0,4.7,18.6,0.1,0.5,3.9,0,3.2,
130,"Mike Gillislee, NE RBBreaking News",FA,,0/0,0,0,0,4.4,19.3,0.2,0,0,0,2.9,
131,"Charcandrick West, KC RB",FA,,0/0,0,0,0,3.6,14.1,0.1,0,0,0,2.5,
132,"Troymaine Pope, Hou RB",FA,,0/0,0,0,0,1.7,6.6,0,1.4,11.7,0.1,2.4,
133,"Ryan Hewitt, Cin RB",FA,,0/0,0,0,0,0,0,0,1.9,17.9,0.1,2.3,
134,"Taiwan Jones, Buf RB",FA,,0/0,0,0,0,4,16.4,0.1,0,0,0,2.3,
135,"Tre Madden, Sea RB",FA,,0/0,0,0,0,0,0,0,1.8,14.5,0.1,2.2,
136,"Derrick Coleman, Ari RB",FA,,0/0,0,0,0,1.9,6.3,0.1,0.9,6.9,0,2.2,
137,"Thomas Rawls, NYJ RBBreaking News",WORK,,0/0,0,0,0,2.3,9.2,0.1,0.8,6.3,0,2.1,
138,"Danny Vitale, Cle RB  Q",FA,,0/0,0,0,0,0,0,0,1.9,14.8,0.1,2.1,
139,"David Fluellen, Ten RB",FA,,0/0,0,0,0,2.1,8,0.1,0,0,0,1.2,
140,"Fitzgerald Toussaint, Pit RBRecent News",FA,,0/0,0,0,0,0,0,0,0,0,0,0.9,
141,"Wendell Smallwood, Phi RBBreaking News",FA,,0/0,0,0,0,0,0,0,0,0,0,0.2,
142,"Josh Ferguson, Ind RB  QRecent News",FA,,0/0,0,0,0,0,0,0,0,0,0,0.1,
143,"Matthew Dayes, Cle RB",FA,,0/0,0,0,0,0,0,0,0,0,0,0.1,
