##,PLAYER,NFL,Team,BYE,INJ.,AGE,ADP,AAV,PTS,
79,Darren McFadden,RB,,6,,30,184.42,$1 ,61,NA
80,Wayne Gallman,RB,,8,,23,217.19,$1 ,57.8,NA
81,Donnel Pumphrey,RB,,10,,23,220.05,$1 ,54.9,NA
82,Damien Williams,RB,,11,,25,0,$1 ,52.4,NA
83,Benny Cunningham,RB,,9,Que,27,0,$0 ,49,NA
84,Josh Ferguson,RB,,11,,24,0,$1 ,48.5,NA
85,Branden Oliver,RB,,9,,26,223.95,$0 ,48.3,NA
86,Robert Turbin,RB,,11,,28,212.61,$0 ,48,NA
87,Mike Tolbert,RB,,6,,32,0,$0 ,47.1,NA
88,Javorius Allen,RB,,10,,26,0,$0 ,42.5,NA
89,Alfred Blue,RB,,7,,26,0,$0 ,41.2,NA
90,Cameron Artis-Payne,RB,,11,,27,0,$1 ,40,NA
91,Ka'Deem Carey,RB,,9,,25,0,$0 ,40,NA
92,Elijah McGuire,RB,,11,,23,0,$1 ,34,NA
93,Kenjon Barner,RB,,9,,28,0,$0 ,32,NA
94,Alfred Morris,RB,,6,,29,0,$0 ,31.9,NA
95,Kenneth Dixon,RB,,10,Sus,23,117.25,$4 ,0.1,NA
