##,PLAYER,NFL,Team,BYE,INJ.,AGE,ADP,AAV,PTS,
80,Chris Conley,WR,,10,,25,200.52,$1 ,127.1,NA
81,Kenny Golladay,WR,,7,,24,204.86,$1 ,126.1,NA
82,Tyler Boyd,WR,,6,,23,217,$1 ,123.8,NA
83,ArDarius Stewart,WR,,11,Que,,222.61,$1 ,122.6,NA
84,Jeremy Kerley,WR,,11,,29,227.51,$0 ,121.8,NA
85,Laquon Treadwell,WR,,9,,22,208.25,$2 ,119,NA
86,Kamar Aiken,WR,,11,,28,219.74,$1 ,117,NA
87,JuJu Smith-Schuster,WR,,9,,21,208.5,$3 ,116,NA
88,Michael Floyd,WR,,9,Sus,28,218.96,$1 ,115.1,NA
89,Chad Williams,WR,,8,,23,219.77,$1 ,111,NA
90,Terrance Williams,WR,,6,,28,223.6,$1 ,110.2,NA
91,Eli Rogers,WR,,9,,25,226.02,$1 ,109.4,NA
92,Albert Wilson,WR,,10,,25,0,$0 ,109,NA
93,Kendall Wright,WR,,9,,28,224.91,$1 ,107,NA
94,Chris Godwin,WR,,11,,21,219.41,$2 ,105.1,NA
95,Aldrick Robinson,WR,,11,,29,228.33,$0 ,105,NA
96,Travis Benjamin,WR,,9,,28,217.96,$1 ,104.8,NA
97,Brandon LaFell,WR,,6,,31,219.73,$1 ,103.5,NA
98,Phillip Dorsett,WR,,11,Que,24,216.9,$1 ,102,NA
99,Pharoh Cooper,WR,,8,,22,0,$0 ,101,NA
100,Tajae Sharpe,WR,,8,Que,23,216,$1 ,100,NA
101,Carlos Henderson,WR,,5,,23,220.48,$1 ,99.2,NA
102,Cordarrelle Patterson,WR,,10,,26,226.51,$1 ,94.8,NA
103,Vincent Jackson,WR,,,,34,0,$0 ,94,NA
104,Cody Core,WR,,6,Que,23,0,$0 ,93.8,NA
105,Markus Wheaton,WR,,9,Que,26,0,$1 ,93,NA
106,Seth Roberts,WR,,10,,26,0,$0 ,92.5,NA
107,Dontrelle Inman,WR,,9,Que,28,219.74,$1 ,92,NA
108,Jermaine Kearse,WR,,6,,27,0,$0 ,91.9,NA
109,Jehu Chesson,WR,,10,,24,0,$1 ,91.5,NA
110,Jaelen Strong,WR,,7,Que,23,0,$0 ,90,NA
111,Braxton Miller,WR,,7,,25,0,$1 ,89,NA
112,Dorial Green-Beckham,WR,,,,24,218.83,$1 ,88,NA
113,Nelson Agholor,WR,,10,,24,0,$1 ,88,NA
114,Adam Humphries,WR,,11,,24,0,$1 ,87.5,NA
115,Danny Amendola,WR,,9,,32,0,$1 ,85.5,NA
116,Josh Reynolds,WR,,8,,22,0,$1 ,84,NA
117,Brandon Coleman,WR,,5,,25,0,$1 ,83,NA
118,Marquise Goodwin,WR,,11,,27,221.33,$1 ,79.5,NA
119,Taywan Taylor,WR,,8,,,223.22,$1 ,76.5,NA
120,Rashard Higgins,WR,,9,,23,0,$1 ,73.5,NA
121,Sammie Coates,WR,,9,Que,24,218.77,$1 ,67.1,NA
122,Andre Ellington,WR,,8,,28,220.81,$1 ,48.5,NA
123,Chad Hansen,WR,,11,Que,22,0,$0 ,46,NA
