RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
51,"Cameron Meredith, Chi WRRecent News",RIP,,0/0,0,0,0,2.4,15.1,0.1,67.9,821.6,4.1,107.8,103.1
52,"Rishard Matthews, Ten WR",JAJ,,0/0,0,0,0,0,0,0,53.4,755.4,5,105.5,101.5
53,"Jordan Matthews, Phi WRRecent News",JAJ,,0/0,0,0,0,0,0,0,71,792.6,3.9,102.4,100.9
54,"Will Fuller V, Hou WR",FA,,0/0,0,0,0,0,0,0,57.1,781.9,3.8,101.8,100.6
55,"Tavon Austin, LAR WRBreaking News",JTR,,0/0,0,0,0,19.4,134.2,0.6,53.4,671.8,2.7,101.4,95.4
56,"Kenny Stills, Mia WR",FA,,0/0,0,0,0,0,0,0,47.1,719.3,4.9,100.7,95.1
57,"Mohamed Sanu, Atl WR",FA,,0/0,0,0,0,3.9,24.1,0.2,54.8,631,5.4,99.4,93.7
58,"Robert Woods, LAR WR",FA,,0/0,0,0,0,0,0,0,65.2,791,3.4,99.3,93
59,"Tyler Lockett, Sea WR  Q",FA,,0/0,0,0,0,4.1,25.7,0.1,50.1,694.2,3.7,97.8,92.5
60,"Marqise Lee, Jax WR",FA,,0/0,0,0,0,8.3,52,0.2,54.9,664,3.5,97.4,90.6
61,"Sterling Shepard, NYG WR",JTR,,0/0,0,0,0,4,25,0.1,58,669.2,4.6,97.1,89.7
62,"Taylor Gabriel, Atl WR  QRecent News",JTR,,0/0,0,0,0,3.9,24.5,0.1,49.7,684.3,4.3,97,83.6
63,"Devin Funchess, Car WR",FA,,0/0,0,0,0,0,0,0,44.3,652.2,4.7,93.6,83
64,"Allen Hurns, Jax WR",FA,,0/0,0,0,0,0,0,0,51,691.5,4.2,93.2,81.3
65,"Kevin White, Chi WR",FA,,0/0,0,0,0,0,0,0,57.1,661.3,4.2,90.9,80.4
66,"Cole Beasley, Dal WR",Bro,,0/0,0,0,0,0,0,0,65.8,697.6,3.1,88.5,80.3
67,"J.J. Nelson, Ari WR",SENK,,0/0,0,0,0,4.4,27.7,0.1,37.2,630.5,3.6,88.3,79.6
68,"Robby Anderson, NYJ WR",FA,,0/0,0,0,0,3.7,23.4,0.1,50.1,685.4,2.8,87.9,77.1
69,"Kenny Golladay, Det WR",FA,,0/0,0,0,0,0,0,0,48.1,588,4.7,86.7,76.3
70,"Josh Doctson, Wsh WR",FA,,0/0,0,0,0,0,0,0,46.5,637.9,3.6,85.4,76.3
71,"Curtis Samuel, Car WR  QRecent News",FA,,0/0,0,0,0,31,158.2,1,39.9,478.9,2.6,84.9,74.8
72,"Torrey Smith, Phi WRRecent News",FA,,0/0,0,0,0,0,0,0,39.4,626.1,3.5,83.3,72.1
73,"Terrance Williams, Dal WR",FA,,0/0,0,0,0,0,0,0,40.5,615.3,3.6,82.5,71.5
74,"Cooper Kupp, LAR WR",FA,,0/0,0,0,0,0,0,0,54.9,653.9,2.8,81.8,69.7
75,"Zay Jones, Buf WRBreaking News",FA,,0/0,0,0,0,0,0,0,52.6,602.8,3.6,81.7,68.1
76,"Breshad Perriman, Bal WR",FA,,0/0,0,0,0,0,0,0,49.4,636.5,2.9,80.6,67.1
77,"ArDarius Stewart, NYJ WR  Q",FA,,0/0,0,0,0,0,0,0,46.8,581.3,2.7,74.4,65.3
78,"Jeremy Kerley, SF WR",FA,,0/0,0,0,0,3.8,23.2,0.1,48.4,560.3,2.1,71.3,64
79,"John Ross, Cin WR  QRecent News",FA,,0/0,0,0,0,2.2,13.6,0.1,37.9,534,2.6,70.3,63.4
80,"Markus Wheaton, Chi WR  QBreaking News",FA,,0/0,0,0,0,0,0,0,40.1,544.1,2.7,69.8,62.5
81,"Andre Holmes, Buf WRBreaking News",FA,,0/0,0,0,0,0,0,0,33.2,443.2,4,68.5,60.8
82,"Albert Wilson, KC WR",FA,,0/0,0,0,0,1.9,12,0.1,42.9,495,2.6,66.6,60.8
83,"Carlos Henderson, Den WR",FA,,0/0,0,0,0,0,0,0,41,503.2,2.6,66.5,58.3
84,"Laquon Treadwell, Min WR",FA,,0/0,0,0,0,0,0,0,43.1,491.6,2.9,66.2,57.5
85,"Braxton Miller, Hou WRBreaking News",FA,,0/0,0,0,0,8.8,55.3,0.2,36.3,396.9,2.8,62.8,55.3
86,"Seth Roberts, Oak WR",FA,,0/0,0,0,0,0,0,0,32.7,411.7,3.3,61.4,54
87,"Chris Hogan, NE WR",SENK,,0/0,0,0,0,4.2,26.9,0.2,27,398.8,3,61.1,51.6
88,"Tyler Boyd, Cin WR",RIP,,0/0,0,0,0,2.2,13.6,0.1,40.2,452.3,2.4,61.1,49.4
89,"Paul Richardson, Sea WR",FA,,0/0,0,0,0,0,0,0,33.5,439.9,2.7,60.3,49.3
90,"Marquise Goodwin, SF WR",FA,,0/0,0,0,0,1.9,11.6,0,30.8,463.5,1.9,58.8,47.6
91,"Travis Benjamin, LAC WR",NIEV,,0/0,0,0,0,2,13,0,30.4,420,2.2,57.5,46
92,"Chris Conley, KC WR",FA,,0/0,0,0,0,0,0,0,37.7,430.9,2.4,57.5,45.9
93,"Eli Rogers, Pit WR",BOB,,0/0,0,0,0,0,0,0,33.3,410.1,2.1,54.4,45.3
94,"Brandon LaFell, Cin WR",FA,,0/0,0,0,0,0,0,0,30.2,371.2,2.2,50.5,44.4
