RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
55,"Rhett Ellison, NYG TERecent News",FA,,0/0,0,0,0,0,0,0,12.3,121.8,0.9,17.4,23.9
56,"Luke Willson, Sea TE",FA,,0/0,0,0,0,0,0,0,9.8,118.1,0.8,16.8,23.5
57,"Bucky Hodges, Min TE",FA,,0/0,0,0,0,0,0,0,11.5,114.9,0.8,16.4,23
58,"Ed Dickson, Car TE",FA,,0/0,0,0,0,0,0,0,9.6,109.1,0.8,15.9,22.5
59,"Jonnu Smith, Ten TE",FA,,0/0,0,0,0,0,0,0,9.7,98.6,1,15.6,22.1
60,"Nick O'Leary, Buf TEBreaking News",FA,,0/0,0,0,0,0,0,0,9.7,97.9,0.8,14.4,20.8
61,"Jordan Leggett, NYJ TE",FA,,0/0,0,0,0,0,0,0,9.5,98.2,0.6,13.5,19.3
62,"Levine Toilolo, Atl TE",FA,,0/0,0,0,0,0,0,0,7.3,74,0.9,13,16.3
63,"Darren Fells, Det TE",FA,,0/0,0,0,0,0,0,0,7.9,83.4,0.7,12.8,16.1
64,"James Hanna, Dal TE  Q",FA,,0/0,0,0,0,0,0,0,8.8,86.2,0.7,12.5,15.1
65,"Brent Celek, Phi TE",FA,,0/0,0,0,0,0,0,0,7.9,93.1,0.5,12.3,14.9
66,"Lee Smith, Oak TE  Q",FA,,0/0,0,0,0,0,0,0,8.6,76.6,0.8,12.3,14.7
67,"Lance Kendricks, GB TE",FA,,0/0,0,0,0,0,0,0,7.3,70.7,0.8,12,12.6
68,"Anthony Fasano, Mia TE",FA,,0/0,0,0,0,0,0,0,6.4,65.4,0.9,11.8,11.5
69,"Jake Butt*, Den TE  O",FA,,0/0,0,0,0,0,0,0,8.3,82,0.6,11.6,11.4
70,"Maxx Williams, Bal TE  Q",FA,,0/0,0,0,0,0,0,0,8.5,78.6,0.5,10.8,10.2
71,"Stephen Anderson, Hou TE",FA,,0/0,0,0,0,0,0,0,7.3,78.6,0.5,10.8,10.1
72,"Temarrick Hemingway, LAR TE",FA,,0/0,0,0,0,0,0,0,7,72.8,0.5,10,10.1
73,"Logan Thomas, Buf TE",FA,,0/0,0,0,0,0,0,0,6.5,65.3,0.5,9.6,10
74,"Jeff Heuerman, Den TE",FA,,0/0,0,0,0,0,0,0,6.5,66.7,0.5,9.5,9.7
75,"Matt LaCosse, NYG TE  Q",FA,,0/0,0,0,0,0,0,0,6,60.8,0.5,9.1,6.6
76,"C.J. Uzomah, Cin TE",FA,,0/0,0,0,0,0,0,0,5.3,51.5,0.4,7.7,6.5
77,"Ben Koyack, Jax TE",FA,,0/0,0,0,0,0,0,0,5.8,54.8,0.3,7.5,6.5
78,"Matt Lengel, NE TE",FA,,0/0,0,0,0,0,0,0,4,41,0.4,6.7,6.5
79,"Richard Rodgers, GB TE",FA,,0/0,0,0,0,0,0,0,3.7,38.2,0.4,6.4,6.1
80,"Eric Saubert, Atl TE",FA,,0/0,0,0,0,0,0,0,3.7,38.6,0.4,6.4,6
81,"Eric Tomlinson, NYJ TE",FA,,0/0,0,0,0,0,0,0,4.6,46.7,0.3,6.4,6
