RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
48,"Tom Savage, Hou QB",FA,,9.6/17.2,110.6,0.7,0.7,0.4,1.5,0,0,0,0,7.5
49,"Matt Cassel, Ten QB",FA,,9.2/15.4,103.9,0.6,0.6,0.9,3.5,0,0,0,0,6.8
50,"Case Keenum, LA QBRecent News",FA,,8.8/15.1,95.4,0.4,0.4,0.4,1.7,0,0,0,0,5.4
51,"Scott Tolzien, Ind QB",FA,,1.8/3,19.9,0.2,0.1,0.1,0.5,0,0,0,0,1.6
52,"Brett Hundley, GB QB  PRecent News",FA,,1.7/2.9,18.8,0.2,0.1,0.1,0.4,0,0,0,0,1.5
53,"Chad Henne, Jax QB",FA,,1.7/2.9,18.6,0.1,0.1,0.1,0.4,0,0,0,0,1.5
54,"Ryan Nassib, NYG QBBreaking News",FA,,1.7/2.9,19.3,0.1,0.1,0.1,0.5,0,0,0,0,1.5
55,"Connor Cook, Oak QB",FA,,1.7/2.9,18.6,0.1,0.1,0.1,0.4,0,0,0,0,1.5
56,"Luke McCown, NO QB",FA,,1.9/3.1,20.4,0.1,0.1,0.1,0.5,0,0,0,0,1.4
57,"Trevone Boykin, Sea QBBreaking News",FA,,1.5/2.6,16.5,0.1,0.1,0.1,0.4,0,0,0,0,1.4
58,"Colt McCoy, Wsh QB",FA,,1.7/2.9,19.6,0.1,0.1,0.1,0.4,0,0,0,0,1.4
59,"Derek Anderson, Car QB",FA,,1.5/2.7,17,0.1,0.1,0.1,0.4,0,0,0,0,1.4
60,"Dan Orlovsky, Det QB",FA,,1.9/3.1,20.9,0.1,0.1,0.1,0.5,0,0,0,0,1.4
61,"Zach Mettenberger, SD QB",FA,,1.8/3,19.9,0.1,0.1,0.1,0.5,0,0,0,0,1.3
62,"Mike Glennon, TB QBBreaking News",FA,,1.6/2.8,18,0.1,0.1,0.1,0.4,0,0,0,0,1.3
63,"Ryan Mallett, Bal QB",FA,,1.7/2.9,19.5,0.1,0.1,0.1,0.4,0,0,0,0,1.3
64,"AJ McCarron, Cin QBBreaking News",FA,,1.6/2.7,17.5,0.1,0.1,0.1,0.4,0,0,0,0,1.3
65,"Matt Moore, Mia QBBreaking News",FA,,1.7/2.9,19.3,0.1,0.1,0.1,0.4,0,0,0,0,1.2
66,"Matt Schaub, Atl QB",Bro,,1.8/3,19.9,0.1,0.1,0.1,0.4,0,0,0,0,1.2
67,"Christian Hackenberg, NYJ QB",FA,,1.4/2.4,14.4,0.1,0.1,0.1,0.4,0,0,0,0,1.1
68,"Nick Foles, KC QB",FA,,1.5/2.6,17.1,0.1,0.1,0.1,0.4,0,0,0,0,1.1
69,"Shaun Hill, Min QBBreaking News",FA,,1.5/2.5,16.8,0.1,0.1,0.1,0.4,0,0,0,0,1.1
70,"Jacoby Brissett, NE QB",FA,,0.5/0.8,4.8,0,0,0,0.1,0,0,0,0,0.4
71,"Joe Webb, Car QB",FA,,0/0,0,0,0,0,0,0,0,0,0,0.3
